1	65565	70008	OR4F5	2
1	358067	399100	LOC112268260	4
1	450740	451678	OR4F29	1
1	586839	611297	LOC105378947	5
1	685716	686654	OR4F16	1
1	924432	944153	SAMD11	14
1	944694	959240	NOC2L	19
1	960694	965191	KLHL17	12
1	966208	974575	PLEKHN1	15
1	976172	981166	PERM1	4
1	999059	999973	HES4	3
1	1013574	1014478	ISG15	2
1	1020173	1055399	AGRN	37
1	1071817	1072566	RNF223	1
1	1082893	1091543	C1orf159	8
1	1179216	1197847	TTLL10	13
1	1203591	1206571	TNFRSF18	4
1	1211555	1214127	TNFRSF4	7
1	1217512	1228793	SDF4	5
1	1232279	1233268	B3GALT6	1
1	1242490	1246690	C1QTNF12	8
1	1255203	1267992	UBE2J2	6
1	1280662	1291610	SCNN1D	18
1	1293564	1307815	ACAP3	23
1	1308644	1311660	PUSL1	8
1	1311859	1324608	INTS11	15
1	1326911	1327763	CPTP	2
1	1331346	1334464	TAS1R3	5
1	1336142	1349065	DVL1	15
1	1353301	1358504	MXRA8	9
1	1373801	1374756	AURKAIP1	3
1	1387231	1399306	CCNL2	11
1	1402083	1407217	MRPL20	4
1	1419100	1421005	ANKRD65	3
1	1426128	1427787	TMEM88B	2
1	1433233	1435150	LOC107985729	4
1	1435749	1439787	VWA1	3
1	1450684	1468530	ATAD3C	12
1	1471885	1509351	ATAD3B	16
1	1512269	1534072	ATAD3A	16
1	1535359	1540346	TMEM240	4
1	1542066	1574557	SSU72	5
1	1599335	1600015	FNDC10	1
1	1615460	1630530	MIB2	20
1	1632219	1634625	MMP23B	7
1	1635764	1657485	CDK11B	19
1	1660012	1676699	SLC35E2B	8
1	1702907	1722818	CDK11A	19
1	1725414	1739557	SLC35E2A	5
1	1752904	1765406	NADK	11
1	1787331	1825453	GNB1	9
1	1915281	1917193	CALML6	6
1	1917882	1919265	TMEM52	5
1	1922287	1990956	CFAP74	38
1	2019424	2030282	GABRD	9
1	2050631	2185009	PRKCZ	18
1	2185278	2201098	FAAP20	4
1	2228767	2306765	SKI	7
1	2321383	2391533	MORN1	14
1	2395791	2403124	RER1	6
1	2405766	2412502	PEX10	6
1	2412501	2505213	PLCH2	22
1	2508847	2526587	PANK4	19
1	2529469	2530164	HES5	3
1	2556665	2563273	TNFRSF14	8
1	2586796	2589479	PRXL2B	7
1	2590990	2629484	MMEL1	22
1	2641368	2800827	TTC34	8
1	3021687	3022820	ACTRT2	1
1	3069260	3433811	PRDM16	17
1	3459500	3480587	ARHGEF16	15
1	3490528	3624411	MEGF6	37
1	3625073	3628603	TPRG1L	5
1	3630975	3649999	WRAP73	11
1	3682366	3733079	TP73	13
1	3752482	3771523	CCDC27	11
1	3775374	3775921	SMIM1	2
1	3781088	3796476	LRRC47	7
1	3815402	3855967	CEP104	22
1	3857604	3883741	DFFB	7
1	3889960	3900186	C1orf174	4
1	4655426	4774499	AJAP1	5
1	5863265	5986289	NPHP4	28
1	6040569	6098574	KCNAB2	15
1	6106280	6180023	CHD5	41
1	6186672	6199573	RPL22	4
1	6206026	6219407	RNF207	17
1	6225080	6235911	ICMT	5
1	6244366	6245507	HES3	3
1	6249338	6254905	GPR153	5
1	6264597	6393399	ACOT7	9
1	6418873	6419820	HES2	4
1	6424956	6461185	ESPN	16
1	6461434	6466107	TNFRSF25	5
1	6467563	6496516	PLEKHG5	21
1	6525854	6554502	NOL9	12
1	6555374	6579584	TAS1R1	6
1	6580610	6589212	ZBTB48	10
1	6593365	6602817	KLHL21	4
1	6614067	6621637	PHF13	4
1	6625219	6634088	THAP3	5
1	6635675	6701800	DNAJC11	16
1	6785531	7766522	CAMTA1	23
1	7771384	7779645	VAMP3	5
1	7784878	7842755	PER3	21
1	7846681	7853431	UTS2	6
1	7920835	7939994	TNFRSF9	7
1	7962786	7985054	PARK7	6
1	8013210	8015619	ERRFI1	3
1	8324330	8344013	SLC45A1	8
1	8355087	8656297	RERE	22
1	8861360	8874908	ENO1	11
1	8945875	8974444	CA6	8
1	8992680	9026345	SLC2A7	12
1	9037586	9069536	SLC2A5	12
1	9104419	9129027	GPR157	3
1	9239996	9264869	H6PD	5
1	9355892	9367575	SPSB1	2
1	9539692	9582501	SLC25A33	7
1	9588931	9613199	TMEM201	13
1	9710456	9727046	PIK3CD	22
1	9730508	9823733	CLSTN1	18
1	9850718	9872064	CTNNBIP1	3
1	9922255	9936619	LZIC	6
1	9972074	9996724	NMNAT1	4
1	9997259	10015832	RBP7	4
1	10033671	10179956	UBE4B	29
1	10232329	10376587	KIF1B	48
1	10399118	10419749	PGD	13
1	10430518	10451595	CENPS-CORT	5
1	10430518	10442405	CENPS	5
1	10450224	10451595	CORT	2
1	10461490	10472458	DFFA	6
1	10474967	10629987	PEX14	9
1	10638942	10694345	CASZ1	19
1	10947663	10982037	C1orf127	12
1	11013728	11022654	TARDBP	5
1	11026885	11047207	MASP2	11
1	11054865	11059943	SRM	8
1	11066718	11099831	EXOSC10	24
1	11107485	11259409	MTOR	57
1	11189580	11195023	ANGPTL7	5
1	11273532	11294890	UBIAD1	3
1	11500993	11536686	DISP3	20
1	11648694	11654340	FBXO2	6
1	11655746	11661305	FBXO44	4
1	11668659	11673851	FBXO6	5
1	11674775	11680601	MAD2L2	8
1	11686715	11719696	DRAXIN	8
1	11736209	11750192	AGTRAP	6
1	11763722	11789459	C1orf167	21
1	11790540	11803514	MTHFR	12
1	11806263	11840223	CLCN6	23
1	11846009	11847684	NPPA	3
1	11857655	11858833	NPPB	3
1	11920315	11926237	KIAA2013	3
1	11934780	11974808	PLOD1	20
1	11989169	12011565	MFN2	17
1	12021727	12031808	MIIP	9
1	12063599	12142531	TNFRSF8	15
1	12167092	12207020	TNFRSF1B	11
1	12234267	12509024	VPS13D	69
1	12568329	12617348	DHRS3	4
1	12644547	12666735	AADACL4	4
1	12716177	12725996	AADACL3	4
1	12746431	12760951	C1orf158	4
1	12774868	12777599	PRAMEF12	3
1	12793228	12795996	PRAMEF1	3
1	12824942	12828789	PRAMEF11	3
1	12847408	12848289	HNRNPCL1	1
1	12859010	12861779	PRAMEF2	3
1	12879544	12883394	PRAMEF4	3
1	12892916	12895847	PRAMEF10	3
1	12917693	12920413	PRAMEF7	3
1	12938675	12942518	PRAMEF6	3
1	13049808	13053659	PRAMEF27	3
1	13061325	13062206	HNRNPCL3	1
1	13073694	13077552	PRAMEF25	3
1	13115519	13116400	HNRNPCL2	1
1	13149237	13153095	PRAMEF26	3
1	13164586	13165467	HNRNPCL4	1
1	13175281	13179132	PRAMEF9	3
1	13196823	13199589	PRAMEF13	3
1	13223332	13226106	PRAMEF18	3
1	13259269	13263111	PRAMEF5	3
1	13281371	13284091	PRAMEF8	3
1	13305955	13308887	PRAMEF33	3
1	13318408	13322264	PRAMEF15	3
1	13342528	13345314	PRAMEF14	3
1	13369067	13371900	PRAMEF19	3
1	13389658	13392502	PRAMEF17	3
1	13416355	13421258	PRAMEF20	3
1	13475846	13513593	LRRC38	2
1	13583806	13615911	PDPN	6
